x,y
0.0,0.0
0.06,0.059964006479444595
0.12,0.11971220728891936
0.18,0.17902957342582418
0.24,0.23770262642713458
0.3,0.29552020666133955
0.36,0.35227423327508994
0.42,0.40776045305957015
0.48,0.4617791755414829
0.54,0.5141359916531132
0.6,0.5646424733950354
0.66,0.6131168519734338
0.72,0.6593846719714731
0.78,0.7032794192004103
0.84,0.7446431199708593
0.9,0.7833269096274834
0.96,0.8191915683009983
1.02,0.852108021949363
1.08,0.8819578068849475
1.14,0.9086334961158832
1.2,0.9320390859672263
1.26,0.9520903415905158
1.32,0.9687151001182653
1.38,0.9818535303723597
1.44,0.9914583481916864
1.5,0.9974949866040544
1.56,0.9999417202299663
1.62,0.998789743470524
1.68,0.994043202198076
1.74,0.9857191788355535
1.8,0.9738476308781951
1.86,0.9584712830789142
1.92,0.9396454736853249
1.98,0.9174379552818098
2.04,0.8919286509533796
2.1,0.8632093666488737
2.16,0.8313834607786831
2.22,0.7965654722360865
2.28,0.7588807081809221
2.34,0.7184647930691263
2.4,0.6754631805511511
2.46,0.6300306299958922
2.52,0.5823306495240819
2.58,0.5325349075556212
2.64,0.48082261498864826
2.7,0.4273798802338298
2.76,0.3723990394250557
2.82,0.3160779642170538
2.88,0.25861934966111083
2.94,0.20022998472177053
3.0,0.1411200080598672
3.06,0.08150215176026912
3.12,0.02159097572609596
3.18,-0.03839790450523538
3.24,-0.09824859374510868
3.3,-0.1577456941432482
3.36,-0.21667508038737962
3.42,-0.274824670323124
3.48,-0.3319851882207341
3.54,-0.3879509179417303
3.6,-0.44252044329485246
3.66,-0.4954973729168449
3.72,-0.5466910470692872
3.78,-0.5959172238077639
3.84,-0.6429987420539088
3.9,-0.6877661591839738
3.96,-0.7300583608392995
4.02,-0.7697231407640238
4.08,-0.8066177485832405
4.14,-0.8406094035501945
4.2,-0.8715757724135882
4.26,-0.8994054096851777
4.32,-0.9239981587231879
4.38,-0.9452655121880633
4.44,-0.9631309305733167
4.5,-0.977530117665097
4.56,-0.9884112519391305
4.62,-0.9957351730622453
4.68,-0.999475522827284
4.74,-0.9996188400141854
4.8,-0.9961646088358407
4.86,-0.9891252607943698
4.92,-0.9785261299411385
4.98,-0.9644053617015305
5.04,-0.9468137755926089
5.1,-0.9258146823277325
5.16,-0.9014836559663548
5.22,-0.8739082619290224
5.28,-0.8431877418564168
5.34,-0.8094326564466194
5.4,-0.7727644875559871
5.46,-0.7333152009956565
5.52,-0.6912267715971271
5.58,-0.6466506722561834
5.64,-0.5997473287940438
5.7,-0.5506855425976376
5.76,-0.49964188311690244
5.82,-0.44680005240543
5.88,-0.39235022399145386
5.94,-0.3364883584585042
6.0,-0.27941549819892586
6.06,-0.22133704387835954
6.12,-0.1624620152151542
6.18,-0.10300229873509785
6.24,-0.04317188520872868
6.3,0.016813900484349713
6.36,0.07673917429251892
6.42,0.13638826994159764
6.48,0.19554651510054427
6.54,0.2540010039700231
6.6,0.31154136351337786
6.66,0.36796051057238466
6.72,0.42305539714299684
6.78,0.4766277411288995
6.84,0.5284847399429308
6.9,0.5784397643882002
6.96,0.6263130303216559
7.02,0.6719322456828615
7.08,0.7151332305593578
7.14,0.7557605080570537
