,NaS
1999-01-01,0.3841675155426113
1999-01-02,1.173766745004141
1999-01-03,1.0759770876048453
1999-01-04,1.3675330760728488
1999-01-05,0.48796645586493814
1999-01-06,1.7362839892392818
1999-01-07,1.2562628332112162
1999-01-08,0.6464626856929092
1999-01-09,0.5705134214647821
1999-01-10,0.6093632095968737
1999-01-11,0.9122733466797357
1999-01-12,1.8681187278009983
1999-01-13,1.7231372628428356
1999-01-14,1.001441590322112
1999-01-15,0.9956205315991687
1999-01-16,2.227920857682057
1999-01-17,1.7084564939384332
1999-01-18,0.849992643775836
1999-01-19,1.1730832593120333
1999-01-20,1.0315326283608732
1999-01-21,1.3244288678694358
1999-01-22,1.6940641685272295
1999-01-23,1.1271687938778516
1999-01-24,1.46393029482797
1999-01-25,1.5827053375555273
1999-01-26,1.7140736800202105
1999-01-27,1.0349764142620994
1999-01-28,1.270776442817019
1999-01-29,2.402262567448502
1999-01-30,1.3596351838181795
1999-01-31,1.5053273760125716
1999-02-01,1.7488531418105704
1999-02-02,1.2770347181057686
1999-02-03,1.4064005273799425
1999-02-04,2.4734313302187565
1999-02-05,2.312234753918013
1999-02-06,1.137972328929426
1999-02-07,1.7434647500069904
1999-02-08,1.0825598881714456
1999-02-09,0.9728880690243179
1999-02-10,1.746804522196067
1999-02-11,2.509865260130553
1999-02-12,1.7047788249720341
1999-02-13,2.4754864747175436
1999-02-14,1.204020435602989
1999-02-15,1.7908838391318698
1999-02-16,1.7527159999366217
1999-02-17,1.7449942377489056
1999-02-18,2.189364326854581
1999-02-19,1.9721349016260266
1999-02-20,1.4065333242562656
1999-02-21,1.0044944605699098
1999-02-22,1.406325027740093
1999-02-23,1.6803788000235393
1999-02-24,1.427263618008151
1999-02-25,0.9564134404418161
1999-02-26,0.8576625902541624
1999-02-27,2.1693698065239104
1999-02-28,1.9193069742984046
1999-03-01,1.5280308527933761
1999-03-02,2.072425472418364
1999-03-03,2.13098284285059
1999-03-04,1.8083487378228507
1999-03-05,1.7314660068507433
1999-03-06,2.5470686023070384
1999-03-07,2.423757127792182
1999-03-08,2.734023912042815
1999-03-09,2.540073652357214
1999-03-10,2.1745923129774765
1999-03-11,1.8272603518168704
1999-03-12,1.8819780831174147
1999-03-13,1.7527299303825008
1999-03-14,2.075003825434075
1999-03-15,2.135548312235806
1999-03-16,2.59978691489591
1999-03-17,2.673611818422911
1999-03-18,1.9728458215746654
1999-03-19,2.1585474806292155
1999-03-20,1.3581858279869898
1999-03-21,1.5910390733647346
1999-03-22,1.3731302431770729
1999-03-23,1.9691492542285445
1999-03-24,1.6300324171182352
1999-03-25,1.5094904488941228
1999-03-26,1.8837733086464292
1999-03-27,0.9672099605770861
1999-03-28,1.866253188829585
1999-03-29,2.156182494443353
1999-03-30,2.563551209347639
1999-03-31,1.3786598074695966
1999-04-01,1.7716115401868053
1999-04-02,0.9832349422590063
1999-04-03,2.69490760972439
1999-04-04,1.9519311139187585
1999-04-05,2.184615234326106
1999-04-06,1.3252222198031784
1999-04-07,1.9716526380954065
1999-04-08,1.7998090870266177
1999-04-09,1.5010507152678718
1999-04-10,1.5176700505500955
1999-04-11,1.6231996619708713
1999-04-12,1.6523954970367836
1999-04-13,1.192413586973342
1999-04-14,2.7093618456896036
1999-04-15,2.0111169757182217
1999-04-16,2.056108140132824
1999-04-17,2.0218211734452716
1999-04-18,1.8075186098028637
1999-04-19,1.8521410066273112
1999-04-20,2.1329359486771713
1999-04-21,1.6992695028022806
1999-04-22,2.4448785530880697
1999-04-23,1.6861498249299915
1999-04-24,2.3553205836030076
1999-04-25,1.3183713899016063
1999-04-26,1.9093218488748962
1999-04-27,2.1093132955188802
1999-04-28,2.426134400376063
1999-04-29,2.447123630561898
1999-04-30,1.3093568584901472
1999-05-01,1.4832041352021368
1999-05-02,2.592552496482205
1999-05-03,1.648885585284852
1999-05-04,1.0989770960852394
1999-05-05,2.4112620305510366
1999-05-06,2.1680693198193
1999-05-07,1.2845599659477867
1999-05-08,1.59019420019783
1999-05-09,2.5111350500960814
1999-05-10,1.65243954748312
1999-05-11,1.5873868258291217
1999-05-12,1.6419690406259562
1999-05-13,2.4662486923191835
1999-05-14,0.979669819985829
1999-05-15,1.9272931153303805
1999-05-16,1.760257289184553
1999-05-17,1.8942868689096604
1999-05-18,1.9865703374169092
1999-05-19,1.6090618127611571
1999-05-20,1.845031024662949
1999-05-21,1.744026571778158
1999-05-22,2.1942390034327888
1999-05-23,0.3713269545025797
1999-05-24,1.394734781986148
1999-05-25,1.497568197376544
1999-05-26,0.7904136911813259
1999-05-27,2.120019301548407
1999-05-28,1.703821613154042
1999-05-29,0.6271392504377872
1999-05-30,1.3300588377091338
1999-05-31,1.8129684538652757
1999-06-01,1.5350802921314959
1999-06-02,1.1337436420554818
1999-06-03,1.8009171667527286
1999-06-04,1.6704387473849724
1999-06-05,1.078165713702052
1999-06-06,1.4196478948806497
1999-06-07,2.165051526862044
1999-06-08,2.1054772292596744
1999-06-09,1.0541038237783573
1999-06-10,1.1985648741051182
1999-06-11,2.172649455817627
