,NaS
1999-01-01,1.0
1999-01-02,1.0402072711437067
1999-01-03,1.0794401493866685
1999-01-04,1.1167654284954545
1999-01-05,1.1513306022696306
1999-01-06,1.1823999059105288
1999-01-07,1.2093853926272644
1999-01-08,1.2318717238710204
1999-01-09,1.2496336189448338
1999-01-10,1.262645221929159
1999-01-11,1.2710809876159614
1999-01-12,1.2753080488363326
1999-01-13,1.2758703898586174
1999-01-14,1.2734654990176448
1999-01-15,1.2689144935900718
1999-01-16,1.263126987552787
1999-01-17,1.257062196443699
1999-01-18,1.2516879335781583
1999-01-19,1.2479392415536221
1999-01-20,1.246678418485884
1999-01-21,1.2486581391026554
1999-01-22,1.2544892391972131
1999-01-23,1.2646145336140746
1999-01-24,1.2792897813351787
1999-01-25,1.2985726072720092
1999-01-26,1.3223198519739263
1999-01-27,1.3501934620274463
1999-01-28,1.3816746706894079
1999-01-29,1.416085865716951
1999-01-30,1.4526192144241046
1999-01-31,1.4903708286127575
1999-02-01,1.5283790164171966
1999-02-02,1.5656649942864402
1999-02-03,1.6012743276996375
1999-02-04,1.6343173382166003
1999-02-05,1.6640067584262233
1999-02-06,1.6896910334005286
1999-02-07,1.7108818524134481
1999-02-08,1.727274740066843
1999-02-09,1.7387618311456265
1999-02-10,1.7454362859453714
1999-02-11,1.747588158341709
1999-02-12,1.7456918923808407
1999-02-13,1.740385979204669
1999-02-14,1.7324456395404597
1999-02-15,1.7227496936035414
1999-02-16,1.7122430274672709
1999-02-17,1.7018962522338423
1999-02-18,1.6926642717275435
1999-02-19,1.6854455208513053
1999-02-20,1.6810436082236313
1999-02-21,1.680132994459325
1999-02-22,1.6832301658226994
1999-02-23,1.690671529265632
1999-02-24,1.7025989690048282
1999-02-25,1.7189536789502973
1999-02-26,1.7394785333283453
1999-02-27,1.7637288947162857
1999-02-28,1.791091399866242
1999-03-01,1.8208099244030842
1999-03-02,1.8520176221666487
1999-03-03,1.8837736766158604
1999-03-04,1.9151032013097824
1999-03-05,1.9450385925509766
1999-03-06,1.972660575515889
1999-03-07,1.9971371982318527
1999-03-08,2.0177591150364145
1999-03-09,2.0339696589601974
1999-03-10,2.045388424098069
1999-03-11,2.0518273550493604
1999-03-12,2.053298659177572
1999-03-13,2.050014205210446
1999-03-14,2.0423764337820125
1999-03-15,2.030961166510129
1999-03-16,2.016493044753305
1999-03-17,1.9998146426456611
1999-03-18,1.9818505680376777
1999-03-19,1.9635680781312397
1999-03-20,1.9459358848247574
1999-03-21,1.9298829017738335
1999-03-22,1.9162586876506906
1999-03-23,1.9057972679460047
1999-03-24,1.8990858739679837
1999-03-25,1.8965399285664761
1999-03-26,1.8983853424386727
1999-03-27,1.9046488739564604
1999-03-28,1.9151569625167921
1999-03-29,1.9295430850405877
1999-03-30,1.9472633227592975
1999-03-31,1.9676194762476573
1999-04-01,1.989788745636898
1999-04-02,2.012858713727675
1999-04-03,2.0358661441911794
1999-04-04,2.0578379447919612
1999-04-05,2.0778325534876196
1999-04-06,2.094979987274627
1999-04-07,2.108518850521242
1999-04-08,2.1178287288388584
1999-04-09,2.122456590792826
1999-04-10,2.122136074596311
1999-04-11,2.116798839527838
1999-04-12,2.106577499295443
1999-04-13,2.09180001258495
1999-04-14,2.0729757693505326
1999-04-15,2.050773964580618
1999-04-16,2.0259951792810065
1999-04-17,1.999537377309664
1999-04-18,1.972357764187674
1999-04-19,1.9454321299978645
1999-04-20,1.919713405482077
1999-04-21,1.8960911939092304
1999-04-22,1.8753539997862614
1999-04-23,1.8581557607875294
1999-04-24,1.8449881062634983
1999-04-25,1.8361595221398415
1999-04-26,1.8317823082917264
1999-04-27,1.8317678830668584
1999-04-28,1.8358306346297126
1999-04-29,1.8435001553062962
1999-04-30,1.85414133858287
1999-05-01,1.8669814840162708
1999-05-02,1.8811432572694529
1999-05-03,1.895682103469296
1999-05-04,1.9096265226851428
1999-05-05,1.922019494600981
1999-05-06,1.9319592905785892
1999-05-07,1.9386379373619758
1999-05-08,1.9413756965470335
1999-05-09,1.9396500933869552
1999-05-10,1.9331182603170938
1999-05-11,1.9216316449037307
1999-05-12,1.9052424566576052
1999-05-13,1.8842015784941852
1999-05-14,1.8589480316261497
1999-05-15,1.8300904419010526
1999-05-16,1.7983812957708802
1999-05-17,1.7646850807327907
1999-05-18,1.7299416651698947
1999-05-19,1.6951264749861221
1999-05-20,1.6612091606591641
1999-05-21,1.6291125125364831
1999-05-22,1.5996733716409353
1999-05-23,1.5736071983837632
1999-05-24,1.551477806012958
1999-05-25,1.5336735459706197
1999-05-26,1.5203909579356953
1999-05-27,1.5116265798583983
1999-05-28,1.50717726625148
1999-05-29,1.506649001150894
1999-05-30,1.5094738308836066
1999-05-31,1.514934196448295
1999-06-01,1.5221936306121215
1999-06-02,1.5303325141379474
1999-06-03,1.5383873703934086
1999-06-04,1.5453920271070625
1999-06-05,1.5504188946274038
1999-06-06,1.5526186050851802
1999-06-07,1.5512563265688901
1999-06-08,1.5457432078328657
1999-06-09,1.5356616161529022
1999-06-10,1.520783094918282
1999-06-11,1.501078277174595
1999-06-12,1.476718333440766
1999-06-13,1.4480678921663994
1999-06-14,1.415669733859549
1999-06-15,1.3802219097763706
1999-06-16,1.342548258243374
1999-06-17,1.3035635724780632
1999-06-18,1.264234901242562
1999-06-19,1.2255406281331758
1999-06-20,1.1884290697820865
